,beta,edge_num,gamma,lamuda10:,lamuda1:,lamuda2:,lamuda3:,lamuda4:,lamuda5:,lamuda6:,lamuda7:,lamuda8:,lamuda9:,node_num
35,0.425683594,20,0.6,-0.708683664,4.173462128,-3.012925227,1.685801996,1.391022049,1.088840531,-2,-0.179653935,-1.35300805,-1.084855828,10
36,0.495263672,20,0.7,-0.708683664,4.173462128,-3.012925227,1.685801996,1.391022049,1.088840531,-2,-0.179653935,-1.35300805,-1.084855828,10
37,0.566796875,20,0.8,-0.708683664,4.173462128,-3.012925227,1.685801996,1.391022049,1.088840531,-2,-0.179653935,-1.35300805,-1.084855828,10
38,0.634130859,20,0.9,-0.708683664,4.173462128,-3.012925227,1.685801996,1.391022049,1.088840531,-2,-0.179653935,-1.35300805,-1.084855828,10
39,0.699707031,20,1,-0.708683664,4.173462128,-3.012925227,1.685801996,1.391022049,1.088840531,-2,-0.179653935,-1.35300805,-1.084855828,10
40,0.070703125,20,0.1,-1.393968525,4.225825831,2.049398457,-2.970884232,1.125178502,0.734800135,-1.926215867,-0.341501929,-0.297874022,-1.204758347,10
41,0.144140625,20,0.2,-1.393968525,4.225825831,2.049398457,-2.970884232,1.125178502,0.734800135,-1.926215867,-0.341501929,-0.297874022,-1.204758347,10
42,0.205371094,20,0.3,-1.393968525,4.225825831,2.049398457,-2.970884232,1.125178502,0.734800135,-1.926215867,-0.341501929,-0.297874022,-1.204758347,10
43,0.287890625,20,0.4,-1.393968525,4.225825831,2.049398457,-2.970884232,1.125178502,0.734800135,-1.926215867,-0.341501929,-0.297874022,-1.204758347,10
44,0.355957031,20,0.5,-1.393968525,4.225825831,2.049398457,-2.970884232,1.125178502,0.734800135,-1.926215867,-0.341501929,-0.297874022,-1.204758347,10
45,0.426269531,20,0.6,-1.393968525,4.225825831,2.049398457,-2.970884232,1.125178502,0.734800135,-1.926215867,-0.341501929,-0.297874022,-1.204758347,10
46,0.525341797,20,0.7,-1.393968525,4.225825831,2.049398457,-2.970884232,1.125178502,0.734800135,-1.926215867,-0.341501929,-0.297874022,-1.204758347,10
47,0.587890625,20,0.8,-1.393968525,4.225825831,2.049398457,-2.970884232,1.125178502,0.734800135,-1.926215867,-0.341501929,-0.297874022,-1.204758347,10
48,0.614794922,20,0.9,-1.393968525,4.225825831,2.049398457,-2.970884232,1.125178502,0.734800135,-1.926215867,-0.341501929,-0.297874022,-1.204758347,10
49,0.693847656,20,1,-1.393968525,4.225825831,2.049398457,-2.970884232,1.125178502,0.734800135,-1.926215867,-0.341501929,-0.297874022,-1.204758347,10
50,0.070703125,20,0.1,0.378816981,4.139818136,1.909204485,-2.543954845,-2.291614189,-2,-1.101225247,-0.444115326,1.104915672,0.848154333,10
51,0.137109375,20,0.2,0.378816981,4.139818136,1.909204485,-2.543954845,-2.291614189,-2,-1.101225247,-0.444115326,1.104915672,0.848154333,10
52,0.212988281,20,0.3,0.378816981,4.139818136,1.909204485,-2.543954845,-2.291614189,-2,-1.101225247,-0.444115326,1.104915672,0.848154333,10
53,0.291015625,20,0.4,0.378816981,4.139818136,1.909204485,-2.543954845,-2.291614189,-2,-1.101225247,-0.444115326,1.104915672,0.848154333,10
54,0.343261719,20,0.5,0.378816981,4.139818136,1.909204485,-2.543954845,-2.291614189,-2,-1.101225247,-0.444115326,1.104915672,0.848154333,10
